Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
1,3,A2C,Multi-Head,0.001,0.99,A2C_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_15,N,46.73836866760763,400,24,376,,0.24169184333803817
1,3,A2C,Multi-Head,0.001,0.99,A2C_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_16,N,46.73836866760763,400,11,389,,0.2503585100047048
1,3,A2C,Multi-Head,0.001,0.99,A2C_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_20,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,DQN,Nadaraya-Watson,0.001,0.99,DQN_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_8,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,Nadaraya-Watson,0.001,0.99,DQN_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_10,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,DQN,Nadaraya-Watson,0.001,0.99,DQN_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_11,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,Nadaraya-Watson,0.001,0.99,DQN_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_12,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,Nadaraya-Watson,0.001,0.99,DQN_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_13,N,46.73836866760763,400,35,365,,0.23924739889359373
1,3,DQN,Nadaraya-Watson,0.001,0.99,DQN_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_14,N,46.73836866760763,400,19,381,,0.24369184333803817
1,3,DQN,Nadaraya-Watson,0.001,0.99,DQN_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_15,N,46.73836866760763,400,24,376,,0.24169184333803817
1,3,DQN,Nadaraya-Watson,0.001,0.99,DQN_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_16,N,46.73836866760763,400,11,389,,0.2503585100047048
1,3,DQN,Nadaraya-Watson,0.001,0.99,DQN_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_20,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,DQN,Temporal,0.001,0.99,DQN_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_8,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,Temporal,0.001,0.99,DQN_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_10,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,DQN,Temporal,0.001,0.99,DQN_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_11,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,Temporal,0.001,0.99,DQN_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_12,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,Temporal,0.001,0.99,DQN_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_13,N,46.73836866760763,400,35,365,,0.23924739889359373
1,3,DQN,Temporal,0.001,0.99,DQN_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_14,N,46.73836866760763,400,19,381,,0.24369184333803817
1,3,DQN,Temporal,0.001,0.99,DQN_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_15,N,46.73836866760763,400,24,376,,0.24169184333803817
1,3,DQN,Temporal,0.001,0.99,DQN_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_16,N,46.73836866760763,400,11,389,,0.2503585100047048
1,3,DQN,Temporal,0.001,0.99,DQN_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_20,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,DQN,Self-Attention,0.001,0.99,DQN_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_8,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,Self-Attention,0.001,0.99,DQN_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_10,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,DQN,Self-Attention,0.001,0.99,DQN_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_11,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,Self-Attention,0.001,0.99,DQN_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_12,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,Self-Attention,0.001,0.99,DQN_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_13,N,46.73836866760763,400,35,365,,0.23924739889359373
1,3,DQN,Self-Attention,0.001,0.99,DQN_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_14,N,46.73836866760763,400,19,381,,0.24369184333803817
1,3,DQN,Self-Attention,0.001,0.99,DQN_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_15,N,46.73836866760763,400,24,376,,0.24169184333803817
1,3,DQN,Self-Attention,0.001,0.99,DQN_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_16,N,46.73836866760763,400,11,389,,0.2503585100047048
1,3,DQN,Self-Attention,0.001,0.99,DQN_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_20,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_8,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_10,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_11,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_12,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_13,N,46.73836866760763,400,35,365,,0.23924739889359373
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_14,N,46.73836866760763,400,19,381,,0.24369184333803817
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_15,N,46.73836866760763,400,24,376,,0.24169184333803817
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_16,N,46.73836866760763,400,11,389,,0.2503585100047048
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_20,N,46.73836866760763,400,13,387,,0.24797755762375245
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_8,N,51.23620356542088,400,12,388,,0.2715656332117198
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_10,N,51.23620356542088,400,13,387,,0.2704667321128187
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_11,N,51.23620356542088,400,12,388,,0.2715656332117198
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_12,N,51.23620356542088,400,12,388,,0.2715656332117198
